Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,return,log return
24-May-12,41.65,42.4,41.25,42,41.84754325,157566,1015,6593750,66456,42.18,1.15,0.35,0.014492754,0.006248949
25-May-12,42.1,42.7,41.6,42.3,42.16896879,103238,808,4353440,35928,34.8,1.1,0.2,0.007142857,0.003091077
28-May-12,42.3,42.95,41.95,42.15,42.39055209,254363,1096,10782588,78632,30.91,1,-0.15,-0.003546099,-0.001542788
29-May-12,42.25,42.6,42.05,42.25,42.3322009,128043,666,5420342,76605,59.83,0.55,0,0.002372479,0.001029134
30-May-12,42.4,42.4,41.5,41.6,41.78550344,125009,768,5223564,65879,52.7,0.9,-0.8,-0.015384615,-0.006733383
31-May-12,41,42.15,41,41.5,41.54734466,109854,700,4564142,40748,37.09,1.15,0.5,-0.002403846,-0.001045234
1-Jun-12,41.5,41.85,41.3,41.65,41.58627931,261430,1140,10871901,144166,55.15,0.55,0.15,0.003614458,0.001566909
4-Jun-12,41.3,42.6,41.1,42.2,41.66764629,156863,1002,6536112,57547,36.69,1.5,0.9,0.013205282,0.005697445
5-Jun-12,42.3,42.6,41.9,41.95,42.16970445,96397,735,4065033,44068,45.72,0.7,-0.35,-0.005924171,-0.002580486
6-Jun-12,42.1,43.4,42.1,43.1,42.7494694,308142,1702,13172907,175307,56.89,1.3,1,0.027413588,0.011745305
7-Jun-12,44.1,44.85,43.3,43.45,43.75891834,493758,2333,21606316,228030,46.18,1.55,-0.65,0.00812065,0.003512511
8-Jun-12,43.3,43.45,42.75,43.2,43.10497954,161079,974,6943307,62552,38.83,0.7,-0.1,-0.00575374,-0.002506034
11-Jun-12,43.55,43.9,43,43.15,43.50708141,172635,1175,7510845,83377,48.3,0.9,-0.4,-0.001157407,-0.000502947
12-Jun-12,43.15,43.3,42.75,43.1,43.03142567,128080,882,5511465,58423,45.61,0.55,-0.05,-0.001158749,-0.00050353
13-Jun-12,43.3,43.9,43.2,43.3,43.50687098,171955,1140,7481224,56723,32.99,0.7,0,0.004640371,0.002010626
14-Jun-12,42.8,43.25,42.2,42.35,42.75223672,124401,875,5318421,49784,40.02,1.05,-0.45,-0.021939954,-0.009634482
15-Jun-12,42.55,42.9,42.35,42.55,42.64542947,75418,576,3216233,32799,43.49,0.55,0,0.00472255,0.00204615
18-Jun-12,42.95,43.25,42.1,42.25,42.53819912,115788,889,4925413,46101,39.82,1.15,-0.7,-0.007050529,-0.003072851
19-Jun-12,42.5,42.5,41.9,42.05,42.07171675,83035,768,3493425,40260,48.49,0.6,-0.45,-0.004733728,-0.002060713
20-Jun-12,42.05,42.4,41.8,41.9,42.09445171,161257,803,6788025,80280,49.78,0.6,-0.15,-0.003567182,-0.001551977
21-Jun-12,42,42.5,41.75,42.3,42.20461571,125831,887,5310649,49283,39.17,0.75,0.3,0.009546539,0.004126344
22-Jun-12,41.9,42.45,41.9,42.05,42.17689531,126035,920,5315765,44341,35.18,0.55,0.15,-0.005910165,-0.002574367
25-Jun-12,42.35,44.05,42.35,43.4,43.53902072,479681,2832,20884841,155435,32.4,1.7,1.05,0.032104637,0.013723729
26-Jun-12,43.4,43.75,43.1,43.2,43.36567774,156534,996,6788203,77978,49.82,0.65,-0.2,-0.004608295,-0.002005983
27-Jun-12,43.8,43.9,42.9,43,43.37032358,157519,919,6831650,62220,39.5,1,-0.8,-0.00462963,-0.002015291
28-Jun-12,43.15,43.6,43.15,43.45,43.34417432,135658,867,5879984,43656,32.18,0.45,0.3,0.010465116,0.004521325
29-Jun-12,43.8,44.35,43.5,44.15,44.04386831,346446,1925,15258822,152830,44.11,0.85,0.35,0.016110472,0.006940927
2-Jul-12,44.3,44.55,43.95,44.1,44.19386051,207737,1143,9180700,88138,42.43,0.6,-0.2,-0.001132503,-0.000492118
3-Jul-12,44.4,44.75,44.15,44.25,44.39803487,183092,1173,8128925,75101,41.02,0.6,-0.15,0.003401361,0.001474686
4-Jul-12,44.5,46.35,44.15,46.05,45.48348758,607906,3030,27649685,276473,45.48,2.2,1.55,0.040677966,0.017316359
5-Jul-12,46.1,47.15,45.6,46.75,46.52250032,595747,4362,27715640,272693,45.77,1.55,0.65,0.015200869,0.006551981
6-Jul-12,46.8,47,45.8,46.15,46.30275685,311841,1781,14439098,108557,34.81,1.2,-0.65,-0.012834225,-0.00560991
9-Jul-12,46,47.25,45.7,46.1,46.36251435,385022,2083,17850588,106669,27.7,1.55,0.1,-0.001083424,-0.00047078
10-Jul-12,46.25,46.75,46.15,46.35,46.36616372,123737,879,5737210,60615,48.99,0.6,0.1,0.005422993,0.002348813
11-Jul-12,46.3,47.25,46.25,46.45,46.7235773,244061,1548,11403403,92842,38.04,1,0.15,0.002157497,0.00093598
12-Jul-12,46.45,46.5,45.7,46,46.02532554,154745,988,7122189,52842,34.15,0.8,-0.45,-0.009687836,-0.004227887
13-Jul-12,46.15,46.45,45.25,45.6,45.84840696,144723,908,6635319,70410,48.65,1.2,-0.55,-0.008695652,-0.003792989
16-Jul-12,46,46,45.4,45.55,45.62837315,98276,821,4484174,49548,50.42,0.6,-0.45,-0.001096491,-0.000476461
17-Jul-12,45.7,46.15,45.5,45.65,45.70994859,153097,930,6998056,73164,47.79,0.65,-0.05,0.00219539,0.000952401
18-Jul-12,45.65,46.5,44.8,46,45.55145904,175081,1239,7975195,70954,40.53,1.7,0.35,0.007667032,0.00331705
19-Jul-12,46.5,47.6,46.15,46.25,46.90819047,1084822,6173,50887037,236248,21.78,1.45,-0.25,0.005434783,0.002353905
20-Jul-12,45.9,46.7,45.55,46,46.01347031,197694,1435,9096587,77280,39.09,1.15,0.1,-0.005405405,-0.002353905
23-Jul-12,45.65,46,45.2,45.5,45.52789164,147356,1058,6708808,62812,42.63,0.8,-0.15,-0.010869565,-0.004746435
24-Jul-12,45.75,45.75,44.7,45.05,45.10044456,159710,1173,7202992,86379,54.08,1.05,-0.7,-0.00989011,-0.004316601
25-Jul-12,46,46,44.65,45,44.93351085,113041,828,5079329,55787,49.35,1.35,-1,-0.001109878,-0.000482282
26-Jul-12,45,45.15,44.3,44.5,44.61462619,129316,858,5769385,61259,47.37,0.85,-0.5,-0.011111111,-0.004852503
27-Jul-12,44.65,45.15,43.8,43.95,44.47899692,119911,965,5333521,61990,51.7,1.35,-0.7,-0.012359551,-0.005401132
30-Jul-12,44.35,44.95,44.1,44.75,44.68041895,112757,807,5038030,52417,46.49,0.85,0.4,0.018202503,0.00783416
31-Jul-12,44.85,44.85,44.15,44.5,44.50749333,70129,637,3121266,28778,41.04,0.7,-0.35,-0.005586592,-0.002433029
1-Aug-12,44.6,45.8,44.4,45,45.00542386,3168962,1089,142620478,3068559,96.83,1.4,0.4,0.011235955,0.004852503
2-Aug-12,45.75,46.25,45.55,45.75,45.81572781,204860,1082,9385810,86421,42.19,0.7,0,0.016666667,0.007178585
3-Aug-12,45.45,45.5,44.6,45.05,44.9874248,150773,956,6782889,69069,45.81,0.9,-0.4,-0.015300546,-0.006696303
6-Aug-12,45.1,45.55,44.9,45,45.17570168,99760,717,4506728,51309,51.43,0.65,-0.1,-0.001109878,-0.000482282
